ENROLLMENT ID,ENROLLMENT STATE,PROVIDER TYPE CODE,PROVIDER TYPE TEXT,NPI,MULTIPLE NPI FLAG,CCN,ASSOCIATE ID,ORGANIZATION NAME,DOING BUSINESS AS NAME,INCORPORATION DATE,INCORPORATION STATE,ORGANIZATION TYPE STRUCTURE,ORGANIZATION OTHER TYPE TEXT,PROPRIETARY_NONPROFIT,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE,DATE
O20180406000507,OH,00-08,PART A PROVIDER - HOSPICE,1548775364,N,361608,3375806201,SUMMA HOME HEALTH AND HOSPICE LLC,,08/29/2017,OH,LLC,,P,1077 GORGE BLVD,# A2,AKRON,OH,443102408,01/2025
O20180406000780,OH,00-08,PART A PROVIDER - HOSPICE,1659885135,N,361705,8022371962,NIVALIS HEALTH LLC,NIVALIS HEALTH LLC,02/03/2017,OH,LLC,,P,915 BASSETT RD,,WESTLAKE,OH,441451108,01/2025
O20180406000782,MS,00-08,PART A PROVIDER - HOSPICE,1821514175,N,251708,9931462876,INFINITY HOSPICE CARE INC,,08/01/2017,MS,CORPORATION,,P,110 S PEARL ST,,CARTHAGE,MS,390514132,01/2025
O20180406001729,TX,00-08,PART A PROVIDER - HOSPICE,1306366034,N,741759,4284997149,SOUTHWEST HOSPICE INC,TLC HOSPICE SERVICES,06/19/2017,TX,LLC,,P,1635 N LEE TREVINO DR,STE A,EL PASO,TX,799365175,01/2025
O20180406001824,OK,00-08,PART A PROVIDER - HOSPICE,1104342815,N,371719,1355604216,"ALLIED HOSPICE, LLC",,11/10/2016,OK,LLC,,P,500 N POPLAR AVE,,BROKEN ARROW,OK,74012,01/2025
O20180406002260,TX,00-08,PART A PROVIDER - HOSPICE,1518474394,N,741616,2668735531,BEYONDFAITH HOSPICE OF GARLAND LLC,"BEYONDFAITH HOSPICE, LLC",,,LLC,,P,950 HILLTOP DIRVE,,WEATHERFORD,TX,76086,01/2025
O20180410001433,LA,00-08,PART A PROVIDER - HOSPICE,1790285187,N,191551,941563704,"HOPE HEALTHCARE AND HOSPICE, LLC",,12/14/2017,LA,LLC,,P,301 E KALISTE SALOOM RD,STE 201,LAFAYETTE,LA,705083288,01/2025
O20180410002812,TX,00-08,PART A PROVIDER - HOSPICE,1063911618,N,451532,2860301215,THE WEST TEXAS REHABILITATION CENTER,HOSPICE OF SAN ANGELO,02/05/1954,TX,CORPORATION,,N,1933 UNIVERSITY AVE,,SAN ANGELO,TX,769045133,01/2025
O20180411001529,TX,00-08,PART A PROVIDER - HOSPICE,1134664915,N,741796,6709149420,ANGEL VALLEY HOSPICE LLC,,01/03/2017,TX,LLC,,P,13601 PRESTON RD,STE 313,DALLAS,TX,752404911,01/2025
O20180412000412,TX,00-08,PART A PROVIDER - HOSPICE,1811404569,N,741679,7416210075,PRECISE PERSONALIZED CARE HOSPICE,PRECISE PERSONALIZED CARE HOSPICE,10/20/2017,TX,LLC,,P,6009 BELT LINE RD,STE 240,DALLAS,TX,752547872,01/2025
